class_name,stereotype_original,stereotype_gufo,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses,number_reachable_classes
Activity,category,category,True,False,False,0,4,4
Actor,category,category,True,False,False,0,2,2
CnA,kind,kind,False,True,False,1,0,4
Community,subkind,subkind,False,True,False,1,0,2
Community_Development,subkind,subkind,False,True,False,1,0,4
Core,kind,kind,False,True,False,1,0,4
Counter,kind,kind,False,True,False,1,0,4
Labor_Practices,subkind,subkind,False,True,False,1,0,4
Object,category,category,True,False,False,0,4,4
Organization,subkind,subkind,False,True,False,1,0,2
Organizational_Governance,subkind,subkind,False,True,False,1,0,4
PoP,kind,kind,False,True,False,1,0,4
Social_Assistance_Service,subkind,subkind,False,True,False,1,0,4
