class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
Book,kind,kind,False,True,False,4,0
Collection,kind,kind,False,True,False,7,0
Comment,subkind,subkind,False,True,False,6,0
Commentable,category,category,True,False,False,0,11
Corporate_Resource,category,category,False,True,False,4,0
Course,kind,kind,False,True,False,4,0
Creatable,category,category,True,False,False,0,3
Creation,subkind,subkind,False,True,False,1,0
Deletable,category,category,True,False,False,0,3
Delete,subkind,subkind,False,True,False,1,0
Edit,subkind,subkind,False,True,False,1,0
Editable,category,category,True,False,False,0,3
Follow,subkind,subkind,False,True,False,1,0
Interaction,kind,kind,True,False,False,0,10
Learning_Path,kind,kind,False,True,False,7,0
Link,kind,kind,False,True,False,4,0
Podcast,kind,kind,False,True,False,4,0
Private_Interaction,subkind,subkind,False,True,False,1,0
Public_Interaction,subkind,subkind,False,True,False,1,0
Public_Resource,category,category,False,True,False,4,0
Resource,category,category,False,False,True,3,9
Search,subkind,subkind,False,True,False,1,0
Upvotable,category,category,True,False,False,0,11
Upvote,subkind,subkind,False,True,False,1,0
Video,kind,kind,False,True,False,4,0
View,subkind,subkind,False,True,False,1,0
Viewable,category,category,True,False,False,0,10
