execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,0.017383100115694106,8.829997386783361e-05,0.00010390009265393019,0.0025254000211134553,8.629995863884687e-05,0.011887999949976802,1.3200100511312485e-05,0.0005891000619158149,1.279998105019331e-05,2.3499946109950542e-05,1.079996582120657e-05,0.008331000106409192,7.100054062902927e-06,6.100046448409557e-06,8.999952115118504e-06,0.041077600326389074
2,0.031157499994151294,9.850005153566599e-05,0.00011399993672966957,0.002799500012770295,9.059999138116837e-05,0.021093099960125983,1.3999990187585354e-05,0.0010383999906480312,1.3400102034211159e-05,2.5499961338937283e-05,1.1300086043775082e-05,0.014744300046004355,7.6000578701496124e-06,6.600050255656242e-06,1.279998105019331e-05,0.07122710021212697
3,1.7500133253633976e-05,9.240000508725643e-05,1.279998105019331e-05,1.1199968867003918e-05,8.310005068778992e-05,0.014658599975518882,1.919991336762905e-05,1.6100122593343258e-05,1.6200006939470768e-05,2.4400069378316402e-05,1.0899966582655907e-05,5.600042641162872e-06,0.0005574999377131462,0.000395099981687963,9.999959729611874e-06,0.01593060011509806
4,1.2599979527294636e-05,1.1399970389902592e-05,1.2400094419717789e-05,8.819997310638428e-05,1.1600088328123093e-05,9.710004087537527e-05,1.179997343569994e-05,1.2099859304726124e-05,1.1500087566673756e-05,2.6600086130201817e-05,1.1699972674250603e-05,0.002283299923874438,6.800051778554916e-06,5.900044925510883e-06,9.800074622035027e-06,0.0026128002209588885
5,1.2899981811642647e-05,1.1699972674250603e-05,1.2500095181167126e-05,0.0186843000119552,1.5799887478351593e-05,0.011720000067725778,1.3200100511312485e-05,0.0005882000550627708,1.2299977242946625e-05,2.4300068616867065e-05,1.1500087566673756e-05,0.010497399955056608,6.800051778554916e-06,6.00004568696022e-06,9.400071576237679e-06,0.04162630042992532
6,0.01797319995239377,9.200000204145908e-05,0.00011389993596822023,0.002638299949467182,8.569995407015085e-05,0.012184600112959743,1.300009898841381e-05,0.0006034999387338758,1.300009898841381e-05,2.6699970476329327e-05,1.109996810555458e-05,0.008371399948373437,7.0999376475811005e-06,6.09993003308773e-06,8.900067768990993e-06,0.04214849986601621
7,1.2400094419717789e-05,1.1100084520876408e-05,1.1799857020378113e-05,8.439994417130947e-05,1.079996582120657e-05,9.059987496584654e-05,1.100008375942707e-05,1.179997343569994e-05,1.109996810555458e-05,2.2600055672228336e-05,1.079996582120657e-05,0.0020919000962749124,6.400048732757568e-06,5.600042641162872e-06,9.299954399466515e-06,0.0024016000097617507
8,0.00010170007590204477,0.008832299965433776,0.013869000016711652,2.4799956008791924e-05,0.04015780007466674,0.0037098999600857496,2.5800196453928947e-05,2.8099981136620045e-05,2.429995220154524e-05,4.900014027953148e-05,2.2000051103532314e-05,1.2399978004395962e-05,0.008608399890363216,0.0016934999730437994,2.410006709396839e-05,0.07718310027848929
9,1.3100099749863148e-05,1.100008375942707e-05,1.1999974958598614e-05,8.730008266866207e-05,1.1300086043775082e-05,8.539995178580284e-05,1.4200108125805855e-05,1.1999974958598614e-05,1.1199968867003918e-05,2.359994687139988e-05,1.100008375942707e-05,0.0021229999838396907,6.6999346017837524e-06,5.999929271638393e-06,9.09995287656784e-06,0.002436900162138045
10,0.00010009994730353355,0.00845949980430305,0.013917299918830395,2.470018807798624e-05,0.0396310999058187,0.003537400043569505,2.5099958293139935e-05,2.450007013976574e-05,2.3400061763823032e-05,5.030003376305103e-05,2.2700056433677673e-05,1.179997343569994e-05,0.008292699931189418,0.0016549000283703208,1.989991869777441e-05,0.07579539983998984
