class_name,class_original_classification,classification_final_list
Book,kind,can
Collection,kind,can
Comment,subkind,can
Commentable,category,can
Corporate_Resource,category,can
Course,kind,can
Creatable,category,can
Creation,subkind,can
Deletable,category,can
Delete,subkind,can
Edit,subkind,can
Editable,category,can
Follow,subkind,can
Interaction,kind,can
Learning_Path,kind,can
Link,kind,can
Podcast,kind,can
Private_Interaction,subkind,can
Public_Interaction,subkind,can
Public_Resource,category,can
Resource,category,can
Search,subkind,can
Upvotable,category,can
Upvote,subkind,can
Video,kind,can
View,subkind,is
Viewable,category,can
