execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,0.016710299998521805,8.259998867288232e-05,0.00011140003334730864,0.0023799000191502273,8.459994569420815e-05,0.012924199982080609,1.2999982573091984e-05,2.100015990436077e-06,1.1499971151351929e-05,2.829998265951872e-05,1.079996582120657e-05,0.00821860000723973,7.800001185387373e-06,5.699985194951296e-06,9.299954399466515e-06,0.04060009983368218
2,0.027464799990411848,8.09000339359045e-05,0.00010159995872527361,0.0024904999881982803,8.140003774315119e-05,0.01922820002073422,1.2499978765845299e-05,1.800013706088066e-06,1.1300027836114168e-05,2.2700056433677673e-05,1.0699965059757233e-05,0.013296999968588352,6.599992047995329e-06,5.699985194951296e-06,8.300004992634058e-06,0.0628240000223741
3,1.1300086043775082e-05,8.120003622025251e-05,1.1500029359012842e-05,1.0400020983070135e-05,7.910002022981644e-05,0.012616099964361638,1.209997572004795e-05,1.700012944638729e-06,1.1199968867003918e-05,2.350006252527237e-05,9.90001717582345e-06,5.299982149153948e-06,0.00044539995724335313,0.0003456000122241676,8.90000956133008e-06,0.013673200155608356
4,1.9799976143985987e-05,1.869996776804328e-05,2.380006480962038e-05,0.0001477000187151134,2.059992402791977e-05,0.0001466000103391707,1.9899976905435324e-05,2.300017513334751e-06,1.8999911844730377e-05,3.3599964808672667e-05,1.279998105019331e-05,0.0020062000257894397,5.799985956400633e-06,5.300040356814861e-06,8.300004992634058e-06,0.002490399871021509
5,1.5100056771188974e-05,1.0999967344105244e-05,1.2699980288743973e-05,0.019222699978854507,1.2899981811642647e-05,0.011520300002302974,1.3199984095990658e-05,2.100015990436077e-06,1.2399978004395962e-05,2.6600027922540903e-05,1.0300020221620798e-05,0.009724800009280443,6.599992047995329e-06,5.600042641162872e-06,8.600007276982069e-06,0.04060490004485473
6,0.015969699947163463,8.190004155039787e-05,9.659997886046767e-05,0.0023344000219367445,8.069997420534492e-05,0.010845799988601357,1.1899974197149277e-05,1.7999554984271526e-06,1.1199968867003918e-05,2.2499938495457172e-05,1.0700023267418146e-05,0.0076648000394925475,6.499991286545992e-06,5.599984433501959e-06,8.300004992634058e-06,0.03715239983284846
7,1.1999974958598614e-05,1.0299962013959885e-05,1.0999967344105244e-05,8.239998714998364e-05,1.0400020983070135e-05,7.740000728517771e-05,1.0100018698722124e-05,3.2999669201672077e-06,1.079996582120657e-05,2.150004729628563e-05,1.0300020221620798e-05,0.0019606000278145075,6.299989763647318e-06,5.400041118264198e-06,8.400005754083395e-06,0.0022402000031434
8,1.1599971912801266e-05,8.709990652278066e-05,1.1899974197149277e-05,1.0300020221620798e-05,7.619999814778566e-05,0.0023442000383511186,1.1299969628453255e-05,1.6999547369778156e-06,1.1300027836114168e-05,2.22999369725585e-05,1.0400020983070135e-05,5.599984433501959e-06,0.00020340003538876772,0.00013580004451796412,9.200011845678091e-06,0.002952299895696342
9,1.1000025551766157e-05,9.899958968162537e-06,1.079996582120657e-05,7.880001794546843e-05,1.0000017937272787e-05,7.770000956952572e-05,1.0000017937272787e-05,1.600012183189392e-06,1.0400020983070135e-05,2.039998071268201e-05,9.599956683814526e-06,0.0018833999638445675,5.700043402612209e-06,5.300040356814861e-06,8.299946784973145e-06,0.002152899978682399
10,1.1700030881911516e-05,8.790002902969718e-05,1.1300027836114168e-05,1.0500021744519472e-05,7.709994679316878e-05,0.0025018000742420554,1.1899974197149277e-05,1.7998972907662392e-06,1.0800082236528397e-05,2.1999934688210487e-05,1.0300020221620798e-05,5.499983672052622e-06,0.0002009000163525343,0.0001286999904550612,9.000010322779417e-06,0.0031012000399641693
