execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,7.859990000724792e-05,1.3999640941619873e-05,1.2599863111972809e-05,1.0599847882986069e-05,0.0005113002844154835,1.200009137392044e-05,6.400048732757568e-06,1.219986006617546e-05,1.3000331819057465e-05,1.4299526810646057e-05,8.699996396899223e-05,8.260039612650871e-05,0.0004175002686679363,3.4899916499853134e-05,1.380033791065216e-05,0.0013208002783358097
2,1.550000160932541e-05,1.4400109648704529e-05,1.219986006617546e-05,1.00000761449337e-05,0.00032010022550821304,1.2499745935201645e-05,6.6999346017837524e-06,1.2200325727462769e-05,1.3499520719051361e-05,0.006812799721956253,8.669961243867874e-05,7.739989086985588e-05,0.00022660009562969208,3.9299484342336655e-05,1.3900455087423325e-05,0.007673799060285091
3,1.3599637895822525e-05,0.004233499988913536,1.3400334864854813e-05,1.0299962013959885e-05,7.0999376475811005e-06,1.1399853974580765e-05,0.0033451998606324196,8.309958502650261e-05,0.0001751999370753765,0.002871100325137377,8.330028504133224e-05,7.819989696145058e-05,6.400048732757568e-06,3.609945997595787e-05,0.00010190019384026527,0.011069799307733774
4,7.910002022981644e-05,1.4800112694501877e-05,1.2599863111972809e-05,1.0800082236528397e-05,0.0005517997778952122,1.530023291707039e-05,6.5998174250125885e-06,1.2399628758430481e-05,1.3500452041625977e-05,1.4500226825475693e-05,8.769985288381577e-05,8.050026372075081e-05,0.00042639998719096184,3.590015694499016e-05,1.4199875295162201e-05,0.0013761003501713276
5,1.4099758118391037e-05,1.4699529856443405e-05,1.3399869203567505e-05,1.0699965059757233e-05,0.0003306996077299118,1.2800097465515137e-05,6.800051778554916e-06,1.2899748980998993e-05,1.400010660290718e-05,0.007184599991887808,8.779997006058693e-05,8.21002759039402e-05,0.00024199998006224632,3.8699712604284286e-05,1.6099773347377777e-05,0.00808139843866229
6,1.2799631804227829e-05,1.4599878340959549e-05,1.2699980288743973e-05,1.0799616575241089e-05,7.3998235166072845e-06,1.1599622666835785e-05,0.0034518996253609657,8.119968697428703e-05,1.3299752026796341e-05,8.070049807429314e-05,1.2899748980998993e-05,1.2500211596488953e-05,6.800051778554916e-06,3.7099700421094894e-05,1.3700220733880997e-05,0.0037799980491399765
7,1.4199875295162201e-05,0.008150000125169754,1.4099758118391037e-05,1.0599847882986069e-05,0.0012096003629267216,1.2499745935201645e-05,0.006470499560236931,0.0008993996307253838,0.00031269993633031845,0.005596499890089035,0.003903999924659729,0.01987170008942485,0.0010549998842179775,3.620004281401634e-05,0.01199740031734109,0.059554398991167545
8,7.960014045238495e-05,1.4300458133220673e-05,1.2499280273914337e-05,1.0500196367502213e-05,0.0005079000256955624,1.2099742889404297e-05,6.500165909528732e-06,1.1999625712633133e-05,1.29002146422863e-05,1.4699995517730713e-05,8.279969915747643e-05,7.999967783689499e-05,0.00040719984099268913,3.4899916499853134e-05,1.780083402991295e-05,0.0013056998141109943
9,1.3799872249364853e-05,1.4199875295162201e-05,1.2299977242946625e-05,1.019984483718872e-05,0.00031160004436969757,1.2500211596488953e-05,6.5998174250125885e-06,1.2299977242946625e-05,1.3299752026796341e-05,0.006721300072968006,8.249981328845024e-05,7.950002327561378e-05,0.00022569997236132622,3.9099715650081635e-05,1.4200340956449509e-05,0.007569099310785532
10,1.3799872249364853e-05,0.008270000107586384,1.309998333454132e-05,1.0299962013959885e-05,7.3998235166072845e-06,1.1200085282325745e-05,0.006492699962109327,0.0008829999715089798,0.00031610019505023956,0.005504000000655651,8.240016177296638e-05,8.370028808712959e-05,9.499955922365189e-06,3.480026498436928e-05,0.00013169972226023674,0.021863700356334448
11,1.3300217688083649e-05,1.3699755072593689e-05,1.219986006617546e-05,9.999610483646393e-06,0.0003060000017285347,1.1499971151351929e-05,6.300397217273712e-06,1.200009137392044e-05,1.3000331819057465e-05,0.006634799763560295,8.110003545880318e-05,7.699988782405853e-05,0.00022040028125047684,3.519980236887932e-05,1.3599637895822525e-05,0.007460099644958973
12,1.3499986380338669e-05,0.004219499882310629,1.2999866157770157e-05,1.00000761449337e-05,7.400289177894592e-06,1.1799857020378113e-05,0.003376699984073639,8.450029417872429e-05,0.0001742001622915268,0.002903600223362446,8.559972047805786e-05,8.329981938004494e-05,6.800051778554916e-06,3.5599805414676666e-05,0.00010199984535574913,0.011127499863505363
13,1.4400109648704529e-05,1.4100223779678345e-05,1.2499745935201645e-05,1.0299962013959885e-05,0.0003162999637424946,1.2099742889404297e-05,6.500165909528732e-06,1.3799872249364853e-05,1.3499520719051361e-05,0.006696099881082773,8.599972352385521e-05,7.880013436079025e-05,0.0002276003360748291,3.7099700421094894e-05,1.4100223779678345e-05,0.007553199306130409
14,1.3600103557109833e-05,1.400010660290718e-05,1.2699980288743973e-05,1.1799857020378113e-05,0.0003112000413239002,1.2200325727462769e-05,6.500165909528732e-06,1.2200325727462769e-05,1.3199634850025177e-05,0.007012700196355581,8.240016177296638e-05,8.499994874000549e-05,0.00022879987955093384,3.7999823689460754e-05,1.3899989426136017e-05,0.007868200540542603
15,1.3999640941619873e-05,1.400010660290718e-05,1.2800097465515137e-05,1.0299962013959885e-05,0.00031379982829093933,1.1799857020378113e-05,6.800051778554916e-06,1.2299977242946625e-05,1.3499520719051361e-05,0.006678800098598003,8.219946175813675e-05,7.830001413822174e-05,0.00022400030866265297,3.659958019852638e-05,1.400010660290718e-05,0.007523198612034321
16,1.3600103557109833e-05,0.008377299644052982,1.3199634850025177e-05,1.0699965059757233e-05,7.700175046920776e-06,1.1599622666835785e-05,0.006634400226175785,0.000921300146728754,0.00032350001856684685,0.005661000031977892,8.280016481876373e-05,8.270004764199257e-05,6.90016895532608e-06,3.6700163036584854e-05,9.860005229711533e-05,0.02228200016543269
17,1.4200340956449509e-05,1.4199875295162201e-05,1.2800097465515137e-05,1.039961352944374e-05,0.00032029999420046806,1.2100208550691605e-05,6.90016895532608e-06,1.2800097465515137e-05,1.3499986380338669e-05,0.006731500383466482,8.310005068778992e-05,8.200015872716904e-05,0.00022529996931552887,3.6899931728839874e-05,1.400010660290718e-05,0.007590000983327627
18,1.380033791065216e-05,0.00838660029694438,1.4100223779678345e-05,1.3400334864854813e-05,7.6000578701496124e-06,1.1300202459096909e-05,0.006533899810165167,0.0009123999625444412,0.00033089984208345413,0.005592599511146545,8.379947394132614e-05,8.330028504133224e-05,6.6999346017837524e-06,3.6899931728839874e-05,9.990017861127853e-05,0.02212720038369298
19,1.3299752026796341e-05,1.3899523764848709e-05,1.2299977242946625e-05,1.019984483718872e-05,0.00030519999563694,1.1700205504894257e-05,6.500165909528732e-06,1.1699739843606949e-05,1.2999866157770157e-05,0.006564100738614798,7.930025458335876e-05,7.619988173246384e-05,0.00021740002557635307,3.840029239654541e-05,1.3599637895822525e-05,0.007386799901723862
20,1.2599397450685501e-05,1.4199409633874893e-05,1.2600328773260117e-05,1.0499730706214905e-05,7.400289177894592e-06,1.1499971151351929e-05,0.0033459998667240143,8.050026372075081e-05,1.2899748980998993e-05,8.009932935237885e-05,1.2599863111972809e-05,1.219986006617546e-05,6.6999346017837524e-06,3.6699697375297546e-05,1.400010660290718e-05,0.0036704977974295616
21,1.3499986380338669e-05,1.4100223779678345e-05,1.2299977242946625e-05,1.0400079190731049e-05,0.00031250016763806343,1.1799857020378113e-05,6.400048732757568e-06,1.2200325727462769e-05,1.2999866157770157e-05,0.006732099689543247,8.519971743226051e-05,7.970072329044342e-05,0.00022400030866265297,3.590015694499016e-05,1.4100223779678345e-05,0.007577201351523399
22,1.2899748980998993e-05,1.6299542039632797e-05,1.2100208550691605e-05,1.0300427675247192e-05,0.00034159980714321136,1.180032268166542e-05,6.100162863731384e-06,1.1899974197149277e-05,1.309998333454132e-05,0.00663559976965189,9.769992902874947e-05,7.539987564086914e-05,0.00021480023860931396,3.54996882379055e-05,1.3499520719051361e-05,0.007508599199354649
23,1.3399403542280197e-05,0.008122900035232306,1.3100448995828629e-05,1.0099727660417557e-05,7.700175046920776e-06,1.109996810555458e-05,0.006383800413459539,0.0008829003199934959,0.0002986001782119274,0.005460199899971485,8.190004155039787e-05,8.120015263557434e-05,6.500165909528732e-06,3.439979627728462e-05,9.489990770816803e-05,0.02150270063430071
