execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.0999967344105244e-05,8.410005830228329e-05,1.0800082236528397e-05,1.3299984857439995e-05,0.0001083998940885067,0.005254699965007603,1.3999990187585354e-05,1.3900105841457844e-05,1.0800082236528397e-05,1.470011193305254e-05,6.5999338403344154e-06,5.299923941493034e-06,0.0002837999491021037,0.00024279998615384102,1.2599979527294636e-05,0.006086800014600158
2,1.1200085282325745e-05,8.769996929913759e-05,1.0900082997977734e-05,1.009996049106121e-05,8.730008266866207e-05,0.005031700013205409,1.1600088328123093e-05,1.0800082236528397e-05,1.0299962013959885e-05,1.8099904991686344e-05,1.0200077667832375e-05,8.499948307871819e-06,0.00029449991416186094,0.0001962999813258648,7.3999399319291115e-06,0.00580660009291023
3,0.00458249996881932,0.005959899979643524,0.012539900024421513,8.629995863884687e-05,0.030977200018242,0.0032161000417545438,1.179997343569994e-05,0.00017959997057914734,1.100008375942707e-05,1.4800112694501877e-05,6.600050255656242e-06,0.00090079999063164,0.0014248000225052238,0.001225199899636209,7.800059393048286e-06,0.0611443001544103
4,1.0699965059757233e-05,8.429994340986013e-05,1.1400086805224419e-05,1.009996049106121e-05,8.270004764199257e-05,0.004856300074607134,1.100008375942707e-05,1.0500079952180386e-05,9.999959729611874e-06,1.4299992471933365e-05,6.200047209858894e-06,8.200062438845634e-06,0.0003370000049471855,0.00019049993716180325,7.2999391704797745e-06,0.005650500184856355
5,1.0900082997977734e-05,9.600073099136353e-06,1.0099844075739384e-05,8.649996016174555e-05,9.599956683814526e-06,8.230016101151705e-05,9.600073099136353e-06,1.0399846360087395e-05,9.800074622035027e-06,1.3299984857439995e-05,6.200047209858894e-06,0.0009445999749004841,5.600042641162872e-06,5.400041118264198e-06,6.900052540004253e-06,0.0012208002153784037
6,1.1300086043775082e-05,8.540006820112467e-05,1.0899966582655907e-05,9.900075383484364e-06,8.180004078894854e-05,0.004887099959887564,1.1200085282325745e-05,1.0999850928783417e-05,1.0300078429281712e-05,1.4200108125805855e-05,6.300047971308231e-06,5.199923180043697e-06,0.000304599991068244,0.00019050005357712507,7.0999376475811005e-06,0.0056468002730980515
7,1.0699848644435406e-05,8.489994797855616e-05,1.0499963536858559e-05,9.7999582067132e-06,8.059991523623466e-05,0.004927100031636655,1.0899966582655907e-05,1.0899966582655907e-05,9.800074622035027e-06,1.4299992471933365e-05,6.300047971308231e-06,5.100038833916187e-06,0.0002709999680519104,0.00018450000789016485,7.100054062902927e-06,0.005643499782308936
8,1.1299853213131428e-05,8.589995559304953e-05,1.1199968867003918e-05,1.009996049106121e-05,8.050003089010715e-05,0.005183600005693734,1.1900090612471104e-05,1.079996582120657e-05,1.009996049106121e-05,1.54001172631979e-05,6.600050255656242e-06,5.200039595365524e-06,0.00027469999622553587,0.00018660002388060093,7.3999399319291115e-06,0.005911299958825111
9,1.1300086043775082e-05,1.0400079190731049e-05,1.0800082236528397e-05,0.004740500007756054,1.1899974197149277e-05,0.0031850000377744436,1.1999858543276787e-05,0.00017529993783682585,1.070008147507906e-05,1.479999627918005e-05,6.5999338403344154e-06,0.001859599957242608,5.899928510189056e-06,5.499925464391708e-06,6.5999338403344154e-06,0.010066899820230901
10,0.004703199956566095,9.029998909682035e-05,0.00010540010407567024,8.490006439387798e-05,8.789997082203627e-05,0.003224099986255169,1.1400086805224419e-05,0.00016829988453537226,1.079996582120657e-05,1.650000922381878e-05,6.8999361246824265e-06,0.000939300050958991,5.999929271638393e-06,8.79995059221983e-06,6.800051778554916e-06,0.009470599936321378
11,1.3999990187585354e-05,8.399994112551212e-05,1.079996582120657e-05,9.800074622035027e-06,0.00010569998994469643,0.005185199901461601,1.1499971151351929e-05,1.070008147507906e-05,1.3299984857439995e-05,1.7600017599761486e-05,6.9999368861317635e-06,5.100038833916187e-06,0.00027540000155568123,0.0001892000436782837,7.0999376475811005e-06,0.005946399876847863
