execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,9.999983012676239e-05,1.5900470316410065e-05,1.4899764209985733e-05,1.2600328773260117e-05,0.0006574001163244247,2.310005947947502e-05,7.4999406933784485e-06,1.6099773347377777e-05,2.3995526134967804e-06,1.6500242054462433e-05,0.00010300008580088615,9.639980271458626e-05,0.0006061000749468803,4.1400082409381866e-05,1.620035618543625e-05,0.0017295004799962044
2,1.5600118786096573e-05,1.6299542039632797e-05,1.4699529856443405e-05,1.2400094419717789e-05,0.0003857002593576908,1.4499761164188385e-05,7.699709385633469e-06,1.4299992471933365e-05,2.300366759300232e-06,0.008266699966043234,0.00010120030492544174,9.620003402233124e-05,0.0002772998996078968,5.189981311559677e-05,1.639965921640396e-05,0.009293199051171541
3,1.729978248476982e-05,0.00607370026409626,1.6500242054462433e-05,1.3600103557109833e-05,1.0100193321704865e-05,1.4800112694501877e-05,0.004449499770998955,0.00010479986667633057,2.100598067045212e-06,0.0038731000386178493,0.00011369958519935608,0.00010269973427057266,8.500181138515472e-06,4.789978265762329e-05,0.00014139944687485695,0.014989699702709913
4,9.690038859844208e-05,1.8400605767965317e-05,1.5200115740299225e-05,1.3000331819057465e-05,0.0006944001652300358,1.4999881386756897e-05,8.099712431430817e-06,1.4899298548698425e-05,2.1997839212417603e-06,1.749955117702484e-05,0.00010989978909492493,0.00010229973122477531,0.0005258000455796719,4.260009154677391e-05,1.6800127923488617e-05,0.0016929996199905872
5,1.6600359231233597e-05,1.6999896615743637e-05,1.529976725578308e-05,1.2599863111972809e-05,0.00038530025631189346,1.4699995517730713e-05,7.699709385633469e-06,1.4500226825475693e-05,2.2994354367256165e-06,0.008581900037825108,0.00010029925033450127,9.980006143450737e-05,0.00028009992092847824,4.529999569058418e-05,1.5900004655122757e-05,0.009609298780560493
6,1.5600118786096573e-05,1.7599668353796005e-05,1.9200146198272705e-05,1.2699980288743973e-05,8.90018418431282e-06,1.819990575313568e-05,0.004285399802029133,0.00010020006448030472,2.299901098012924e-06,0.00010029971599578857,1.529976725578308e-05,1.5399884432554245e-05,8.200295269489288e-06,4.449998959898949e-05,1.6300007700920105e-05,0.004680099431425333
7,1.859944313764572e-05,0.011353400070220232,1.6499776393175125e-05,1.3600103557109833e-05,0.0015774997882544994,1.6899779438972473e-05,0.008748600259423256,0.00119420001283288,2.6999041438102722e-06,0.007202200125902891,0.005181100219488144,0.026063199620693922,0.0013759001158177853,4.759989678859711e-05,0.016018999740481377,0.0788309988565743
8,0.00010360032320022583,1.6700010746717453e-05,1.6099773347377777e-05,1.3200100511312485e-05,0.0006819004192948341,1.4999881386756897e-05,7.700175046920776e-06,1.4400109648704529e-05,2.4996697902679443e-06,1.7400365322828293e-05,0.00010589975863695145,0.0001329001970589161,0.0005210000090301037,4.3800100684165955e-05,1.659989356994629e-05,0.0017087007872760296
9,1.750001683831215e-05,1.730024814605713e-05,1.5900004655122757e-05,1.3499986380338669e-05,0.0003955001011490822,1.5200115740299225e-05,7.900409400463104e-06,1.4600344002246857e-05,2.400018274784088e-06,0.011871300172060728,0.00010390020906925201,9.96999442577362e-05,0.00028089992702007294,5.3800176829099655e-05,1.619989052414894e-05,0.012925601564347744
10,1.640012487769127e-05,0.010300299618393183,1.600012183189392e-05,2.840021625161171e-05,9.599607437849045e-06,1.400010660290718e-05,0.013114499859511852,0.0011693998239934444,2.400018274784088e-06,0.0069275000132620335,0.00010349974036216736,0.00010160030797123909,1.1899974197149277e-05,4.989979788661003e-05,0.00013850023970007896,0.032003899570554495
