execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.0499963536858559e-05,0.00010269996710121632,1.0600080713629723e-05,9.399955160915852e-06,7.620011456310749e-05,0.004712599911727011,1.0599964298307896e-05,1.700012944638729e-06,9.900075383484364e-06,1.3599870726466179e-05,5.999929271638393e-06,4.800036549568176e-06,0.0002756000030785799,0.00017290003597736359,6.4999330788850784e-06,0.0054235998541116714
2,1.0599964298307896e-05,7.940013892948627e-05,1.0299962013959885e-05,9.400071576237679e-06,7.98999099060893e-05,0.00459429994225502,1.0499963536858559e-05,1.800013706088066e-06,9.800074622035027e-06,1.3399985618889332e-05,6.00004568696022e-06,4.899920895695686e-06,0.0002530999481678009,0.00017070001922547817,6.7999353632330894e-06,0.00526089989580214
3,0.004445300088264048,0.0054178000427782536,0.011990600149147213,7.940013892948627e-05,0.028191399876959622,0.0028367999475449324,1.0600080713629723e-05,2.00001522898674e-06,1.750001683831215e-05,2.0399922505021095e-05,6.299931555986404e-06,0.0008443000260740519,0.0013108999701216817,0.0011491000186651945,6.9999368861317635e-06,0.05632940016221255
4,1.0499847121536732e-05,7.98999099060893e-05,1.1800089851021767e-05,9.399955160915852e-06,7.680011913180351e-05,0.004593999939970672,1.0999967344105244e-05,1.800013706088066e-06,1.009996049106121e-05,1.3600103557109833e-05,6.100046448409557e-06,5.00003807246685e-06,0.00025669997557997704,0.00018079997971653938,6.800051778554916e-06,0.005274299997836351
5,1.0299962013959885e-05,9.400071576237679e-06,9.999959729611874e-06,7.589999586343765e-05,9.399955160915852e-06,7.919990457594395e-05,9.300070814788342e-06,1.9000144675374031e-06,9.70007386058569e-06,1.3199984095990658e-05,5.799927748739719e-06,0.0009229000424966216,5.599926225841045e-06,4.800036549568176e-06,6.299931555986404e-06,0.001173699856735766
6,1.0399962775409222e-05,8.519995026290417e-05,1.009996049106121e-05,9.300070814788342e-06,7.499987259507179e-05,0.004583399975672364,1.0400079190731049e-05,2.200016751885414e-06,9.600073099136353e-06,1.3399985618889332e-05,6.09993003308773e-06,4.800036549568176e-06,0.0002498999238014221,0.0001705000177025795,6.7999353632330894e-06,0.005247099790722132
7,1.0599847882986069e-05,7.780001033097506e-05,1.009996049106121e-05,8.999952115118504e-06,7.459998596459627e-05,0.0045201999600976706,1.0499963536858559e-05,1.800013706088066e-06,9.899958968162537e-06,1.3299984857439995e-05,6.100046448409557e-06,4.800036549568176e-06,0.00025239994283765554,0.0001770000671967864,6.600050255656242e-06,0.005184699781239033
8,1.0200077667832375e-05,8.220004383474588e-05,1.0099844075739384e-05,9.500072337687016e-06,7.559987716376781e-05,0.004520800081081688,1.0500079952180386e-05,1.7998972907662392e-06,9.800074622035027e-06,1.3200100511312485e-05,6.300047971308231e-06,4.800036549568176e-06,0.00024780002422630787,0.00017639994621276855,6.299931555986404e-06,0.005185300135053694
9,1.0500079952180386e-05,9.09995287656784e-06,1.0199961252510548e-05,0.0044210999039933085,1.0299962013959885e-05,0.0029580999398604035,1.0500079952180386e-05,1.6998965293169022e-06,9.800074622035027e-06,1.3699871487915516e-05,6.09993003308773e-06,0.0016815999988466501,5.199923180043697e-06,5.00003807246685e-06,6.4999330788850784e-06,0.009159399545751512
10,0.00424469995778054,8.340005297213793e-05,9.849993512034416e-05,7.739989086985588e-05,7.54001084715128e-05,0.002851799945347011,1.0599964298307896e-05,1.6998965293169022e-06,9.900075383484364e-06,1.2999866157770157e-05,6.09993003308773e-06,0.0008589000208303332,5.500041879713535e-06,4.900037311017513e-06,5.999929271638393e-06,0.008347799652256072
11,1.3600103557109833e-05,8.370005525648594e-05,1.0399962775409222e-05,9.300070814788342e-06,7.609999738633633e-05,0.0052786999149248,1.0800082236528397e-05,1.9000144675374031e-06,9.699841029942036e-06,1.3500102795660496e-05,5.899928510189056e-06,4.899920895695686e-06,0.00025150005239993334,0.00017689995002001524,6.6999346017837524e-06,0.0059535999316722155
