class_name,class_original_classification,classification_final_list
Active,role,can
Alimenta��o_dupla,subkind,can
Armazenamento_de_Dados,kind,can
Backup,role,is
Bank_of_Battery,subkind,can
Componente_de_IT,category,can
Computer_System,kind,can
Contingency,role,is
Cooler_Redundante,subkind,can
Cooling,kind,can
Cooling_Fan,subkind,can
Data_Storage,kind,can
Dispositive_de_drede_dual,subkind,can
Dual_Network_Device,subkind,can
Dual_Power_Inlet,subkind,can
Energia,kind,can
Fonte_Redundante,subkind,can
Garantia_eSuporte,kind,can
Generator,subkind,can
IT_Component,category,can
Link,subkind,can
Management_Suite,subkind,is
Monitoramento,kind,can
Monitoring,kind,can
Monitoring_Software,subkind,can
Network_Component,kind,can
Network_Provider,subkind,can
Offline,role,is
Online,role,can
Passive,role,is
Periferico,subkind,can
Peripheral,subkind,is
Physical_Media,subkind,can
Plataforma,category,can
Platform,category,can
Power,kind,can
Power_Distributor,subkind,can
Rede,category,can
Redundant_Power_Supply,subkind,can
Refrigea��o,kind,can
Sistema,kind,can
Sistema_Computacional,kind,can
Site,kind,is
System,kind,can
Telecom_Asset,subkind,can
Warranty_And_Support,kind,can
