class_name,stereotype_original,stereotype_gufo,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses,number_reachable_classes
Boat,kind,kind,False,True,False,1,0,5
Friends'_house,kind,kind,False,True,False,1,0,3
Costumer,role,role,False,True,False,2,0,8
International_Trip,subkind,subkind,False,True,False,1,0,2
Hotel_Room,kind,kind,False,True,False,1,0,3
Airbnb,kind,kind,False,True,False,1,0,3
Airbnb_Reservation,subkind,subkind,False,True,False,1,0,2
International_Destination,rolemixin,rolemixin,False,True,False,1,0,2
Driver,role,role,False,True,False,2,0,8
Destination,rolemixin,rolemixin,True,False,False,0,2,2
Person,kind,kind,True,False,False,0,8,8
Plane,kind,kind,False,True,False,1,0,5
Bus_Ticket,subkind,subkind,False,True,False,1,0,4
International_Tourist,role,role,False,True,False,2,0,8
Car,kind,kind,False,True,False,1,0,5
Child,phase,phase,False,True,False,1,0,8
Ticket,relator,kind,True,False,False,0,4,4
Tourist,role,role,False,False,True,1,2,8
National_Destination,rolemixin,rolemixin,False,True,False,1,0,2
Train_Ticket,subkind,subkind,False,True,False,1,0,4
Hotel_Reservation,subkind,subkind,False,True,False,1,0,2
Bus,kind,kind,False,True,False,1,0,5
Transportation_Mean,category,category,True,False,False,0,5,5
Train,kind,kind,False,True,False,1,0,5
Trip,relator,kind,True,False,False,0,2,2
Passenger,role,role,False,True,False,1,0,8
Accommodation,category,category,True,False,False,0,3,3
Adult,phase,phase,False,False,True,1,2,8
Plane_Ticket,subkind,subkind,False,True,False,1,0,4
National_Tourist,role,role,False,True,False,2,0,8
Boat_Ticket,subkind,subkind,False,True,False,1,0,4
Reservation,relator,kind,True,False,False,0,2,2
National_Trip,subkind,subkind,False,True,False,1,0,2
