class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
Cost_Estimated_Process,none,other,False,False,True,2,1
Duration_Estimated_Process,none,other,False,False,True,2,1
Estimated_Process,none,other,False,True,False,5,0
General_Intended_Process,mode,kind,False,True,False,1,0
General_Project_Process,none,other,False,True,False,2,0
Intended_Process,mode,kind,True,False,False,0,9
Project_Process,mode,kind,False,False,True,1,5
Scheduled_Process,mode,kind,False,False,True,1,1
Specific_Intended_Process,mode,kind,False,True,False,1,0
Specific_Project_Process,none,other,False,True,False,2,0
