class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
Action_Universal_(Plan),none,other,True,False,False,0,17
Activity_Universal,type,other,False,False,True,1,3
Atomic_Action_Universal,none,other,False,False,True,1,7
Complex_Action_Universal,none,other,False,False,True,1,8
Composite_Method_Activity,type,other,False,True,False,2,0
Composite_Standard_Activity,type,other,False,True,False,3,0
General_Standard_Process,type,other,False,True,False,5,0
Hybrid_Standard_Process,type,other,False,True,False,5,0
Method_Activity,type,other,False,False,True,1,2
Method_Workflow,type,other,False,True,False,2,0
Organizational_Standard_Process,type,other,False,True,False,5,0
Process_Universal,type,other,False,False,True,3,6
Project_Standard_Process,type,other,False,True,False,5,0
Simple_Method_Activity,type,other,False,True,False,2,0
Simple_Standard_Activity,type,other,False,True,False,3,0
Specific_Standard_Process,type,other,False,True,False,5,0
Standard_Activity,type,other,False,False,True,2,2
Standard_Process,type,other,False,False,True,4,5
