execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.2899283319711685e-05,1.200009137392044e-05,1.1699739843606949e-05,7.6000578701496124e-06,6.200280040502548e-06,7.899943739175797e-06,0.0034481999464333057,0.004297300241887569,0.00018819980323314667,0.002912599593400955,1.0699965059757233e-05,1.1399853974580765e-05,5.1995739340782166e-06,2.3599714040756226e-05,1.1499971151351929e-05,0.010966998059302568
2,1.1600088328123093e-05,1.16005539894104e-05,1.0800082236528397e-05,7.3998235166072845e-06,0.0004523000679910183,8.599832653999329e-06,5.499925464391708e-06,1.0800082236528397e-05,1.1600088328123093e-05,0.01024270011112094,7.979990914463997e-05,8.29002819955349e-05,0.00035800039768218994,2.0600389689207077e-05,1.1300202459096909e-05,0.011325501836836338
3,1.2200325727462769e-05,1.2099277228116989e-05,1.1600088328123093e-05,7.3998235166072845e-06,6.1998143792152405e-06,8.100178092718124e-06,0.005227500107139349,0.008662699721753597,0.0003228001296520233,0.005656700115650892,1.0499730706214905e-05,1.1699739843606949e-05,5.499925464391708e-06,2.310005947947502e-05,1.1200085282325745e-05,0.01998929912224412
4,1.1400319635868073e-05,0.008155299816280603,1.1199619621038437e-05,7.3998235166072845e-06,6.299931555986404e-06,7.899943739175797e-06,0.00340340007096529,0.0008887001313269138,0.00031769974157214165,0.005531600210815668,8.090026676654816e-05,7.720012217760086e-05,5.6996941566467285e-06,2.0100269466638565e-05,9.350012987852097e-05,0.01861830009147525
5,1.219986006617546e-05,0.016955799888819456,1.1500436812639236e-05,7.6000578701496124e-06,6.90016895532608e-06,8.299946784973145e-06,0.006957100238651037,0.004998700227588415,0.000542100053280592,0.011543700005859137,8.499994874000549e-05,8.219992741942406e-05,5.899928510189056e-06,2.279970794916153e-05,0.0001034000888466835,0.041343200486153364
6,1.1600088328123093e-05,0.004143199883401394,1.0999850928783417e-05,7.300172001123428e-06,0.00029300013557076454,1.1499971151351929e-05,0.001729399897158146,8.250027894973755e-05,0.00016750022768974304,0.0028142998926341534,0.0009203003719449043,0.004105900414288044,0.0002621002495288849,2.0199455320835114e-05,0.003212899900972843,0.01779270078986883
7,7.499940693378448e-05,1.219986006617546e-05,1.0500196367502213e-05,7.400289177894592e-06,0.00038510002195835114,9.200070053339005e-06,5.500391125679016e-06,1.0299962013959885e-05,1.109996810555458e-05,1.1799857020378113e-05,7.810024544596672e-05,7.569976150989532e-05,0.0002681002952158451,2.239970490336418e-05,1.4299992471933365e-05,0.0009967000223696232
8,1.1499971151351929e-05,0.008183300029486418,1.1300202459096909e-05,7.6000578701496124e-06,6.500165909528732e-06,8.100178092718124e-06,0.003434500191360712,0.0009037000127136707,0.00031480006873607635,0.005570600274950266,7.970025762915611e-05,8.369982242584229e-05,5.700159817934036e-06,2.0800158381462097e-05,9.390013292431831e-05,0.0187357016839087
9,1.2100208550691605e-05,0.017177000176161528,1.090019941329956e-05,7.3998235166072845e-06,6.100162863731384e-06,7.6000578701496124e-06,0.006780099589377642,0.005190900061279535,0.0005169999785721302,0.011207399889826775,8.29002819955349e-05,7.950002327561378e-05,5.2996911108493805e-06,2.169981598854065e-05,0.00013620080426335335,0.04124210076406598
10,1.1699739843606949e-05,0.00865160021930933,1.1200085282325745e-05,7.300172001123428e-06,6.100162863731384e-06,8.00006091594696e-06,0.003540700301527977,0.0009246999397873878,0.0003082994371652603,0.006036099977791309,9.96999442577362e-05,7.690023630857468e-05,5.600042641162872e-06,2.0099803805351257e-05,9.34000127017498e-05,0.019801400136202574
11,1.3700220733880997e-05,1.1999625712633133e-05,1.1499971151351929e-05,7.700175046920776e-06,6.00004568696022e-06,8.099712431430817e-06,0.00689920037984848,0.015416399575769901,0.0004341001622378826,0.008739900775253773,1.019984483718872e-05,1.2200325727462769e-05,5.499925464391708e-06,2.4700071662664413e-05,1.1400319635868073e-05,0.03161260113120079
12,0.010696199722588062,1.5500467270612717e-05,1.1600088328123093e-05,7.6000578701496124e-06,6.0996972024440765e-06,8.00006091594696e-06,0.0033748000860214233,0.004215599969029427,0.00016220007091760635,1.2699980288743973e-05,1.6300473362207413e-05,1.2099742889404297e-05,5.600042641162872e-06,2.110004425048828e-05,1.1799857020378113e-05,0.01857720036059618
13,1.4999881386756897e-05,1.1999625712633133e-05,1.1699739843606949e-05,7.6000578701496124e-06,6.899703294038773e-06,1.00000761449337e-05,0.0057517001405358315,0.00865629967302084,0.00031690020114183426,0.006079000420868397,1.1200085282325745e-05,1.1400319635868073e-05,5.500391125679016e-06,4.4500455260276794e-05,1.1399853974580765e-05,0.02095110062509775
14,1.1300202459096909e-05,0.008082299958914518,1.1399853974580765e-05,7.0999376475811005e-06,6.299931555986404e-06,8.099712431430817e-06,0.0033141998574137688,0.000874900259077549,0.0003021000884473324,0.005425100214779377,7.699988782405853e-05,7.480010390281677e-05,8.400063961744308e-06,2.0300038158893585e-05,9.289989247918129e-05,0.018316200003027916
15,1.200009137392044e-05,0.014188599772751331,1.4099758118391037e-05,7.3998235166072845e-06,0.0008614999242126942,8.800067007541656e-06,0.005181199871003628,0.0024398998357355595,0.003429899923503399,0.010544699616730213,0.0016819997690618038,0.008379400242120028,0.0007948996499180794,2.4099834263324738e-05,0.010683500207960606,0.058251998387277126
16,1.180032268166542e-05,1.1699739843606949e-05,1.0400079190731049e-05,7.0999376475811005e-06,0.0003033997491002083,8.500181138515472e-06,5.6996941566467285e-06,1.0099727660417557e-05,1.1300202459096909e-05,0.006738800089806318,7.87004828453064e-05,7.639965042471886e-05,0.00022569997236132622,2.0600389689207077e-05,1.1200085282325745e-05,0.007531400304287672
17,7.569976150989532e-05,1.16005539894104e-05,1.0600313544273376e-05,9.700190275907516e-06,0.0005840002559125423,8.800067007541656e-06,5.5995769798755646e-06,9.899958968162537e-06,1.1200085282325745e-05,1.1600088328123093e-05,7.830001413822174e-05,8.25999304652214e-05,0.0004822998307645321,1.960061490535736e-05,1.1499971151351929e-05,0.001413001213222742
18,1.2100208550691605e-05,0.01621920010074973,1.1600088328123093e-05,7.80029222369194e-06,6.600283086299896e-06,8.099712431430817e-06,0.006781099829822779,0.004740699660032988,0.0033601000905036926,0.01230139983817935,8.070003241300583e-05,8.309958502650261e-05,5.6996941566467285e-06,2.0700041204690933e-05,9.489990770816803e-05,0.04373379936441779
19,1.1600088328123093e-05,0.0164938997477293,1.1899974197149277e-05,7.799826562404633e-06,6.400048732757568e-06,7.899943739175797e-06,0.006792700383812189,0.004797100089490414,0.000530400313436985,0.011119100265204906,8.429959416389465e-05,8.030002936720848e-05,5.600042641162872e-06,2.200016751885414e-05,9.680027142167091e-05,0.0400678007863462
