class_name,class_original_classification,classification_final_list
Artifact,category,can
CASE_Tool,subkind,can
Composite_Artifact,category,is
Document,kind,can
Document_Template,kind,can
Hardware_Equipment,kind,can
Hardware_Resource,role,can
Information_Item,kind,can
Method,kind,can
Model,kind,is
Procedure,category,is
Resource,rolemixin,is
Simple_Artifact,category,can
Software_Item,kind,is
Software_Product,kind,is
Software_Project,subkind,can
Software_Resource,role,is
Standard_Process_Definition_Document,kind,can
Technique,kind,can
