execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,9.600073099136353e-06,1.0599847882986069e-05,9.499955922365189e-06,6.200280040502548e-06,5.499925464391708e-06,6.399583071470261e-06,0.0009874003008008003,7.650023326277733e-05,1.0200310498476028e-05,7.619988173246384e-05,9.200070053339005e-06,1.219986006617546e-05,4.8996880650520325e-06,1.4199875295162201e-05,1.0200310498476028e-05,0.0012488001957535744
2,1.3699755072593689e-05,1.0600313544273376e-05,9.80030745267868e-06,6.6999346017837524e-06,0.0002552000805735588,7.0999376475811005e-06,5.100388079881668e-06,9.29972156882286e-06,1.1399853974580765e-05,0.005209300201386213,8.010026067495346e-05,7.42003321647644e-05,0.00017479993402957916,2.3600179702043533e-05,1.0699965059757233e-05,0.005901601165533066
3,1.0599847882986069e-05,1.109996810555458e-05,1.0299962013959885e-05,6.4997002482414246e-06,0.0002746996469795704,7.3998235166072845e-06,5.3998082876205444e-06,9.599607437849045e-06,1.3400334864854813e-05,0.0045496998354792595,7.790001109242439e-05,7.559964433312416e-05,0.00017439993098378181,1.4799647033214569e-05,1.0400079190731049e-05,0.0052517978474497795
4,7.190043106675148e-05,1.0699965059757233e-05,9.700655937194824e-06,6.5998174250125885e-06,0.00025659985840320587,6.9998204708099365e-06,4.8996880650520325e-06,9.09995287656784e-06,9.999610483646393e-06,1.0099727660417557e-05,7.579941302537918e-05,7.280008867383003e-05,0.00016950024291872978,1.3599637895822525e-05,1.019984483718872e-05,0.000738498754799366
5,1.2200325727462769e-05,0.004315299913287163,1.090019941329956e-05,7.100403308868408e-06,0.00020429957658052444,7.400289177894592e-06,0.001004799734801054,8.13002698123455e-05,0.00017869984731078148,0.0033460003323853016,0.0009676003828644753,0.004302999936044216,0.0001738998107612133,1.569977030158043e-05,0.0018179002217948437,0.016446101013571024
6,1.1399853974580765e-05,1.1199619621038437e-05,1.0400079190731049e-05,6.400048732757568e-06,0.0002535996027290821,7.0999376475811005e-06,5.09992241859436e-06,9.699724614620209e-06,1.090019941329956e-05,0.004588699899613857,8.009979501366615e-05,7.609976455569267e-05,0.00017349980771541595,1.4299992471933365e-05,1.0499730706214905e-05,0.0052689979784190655
7,1.0499730706214905e-05,0.0041196998208761215,1.0299962013959885e-05,6.400048732757568e-06,5.700159817934036e-06,9.600073099136353e-06,0.0009833001531660557,7.999967783689499e-05,0.00016909977421164513,0.002804200164973736,7.700035348534584e-05,7.71000050008297e-05,4.999805241823196e-06,1.3899989426136017e-05,9.480025619268417e-05,0.008466599974781275
8,1.1200085282325745e-05,1.1300202459096909e-05,9.600073099136353e-06,6.299931555986404e-06,0.0002486002631485462,6.90016895532608e-06,7.999595254659653e-06,9.599607437849045e-06,1.0400079190731049e-05,0.005008200649172068,7.899990305304527e-05,7.54999928176403e-05,0.0001762998290359974,1.5099998563528061e-05,1.1000316590070724e-05,0.005687000695616007
9,1.4100223779678345e-05,0.004091199487447739,1.0800082236528397e-05,6.6999346017837524e-06,0.0005739997141063213,7.200054824352264e-06,0.0009586000815033913,8.280016481876373e-05,0.00016190018504858017,0.0028319996781647205,0.0024215998128056526,0.011963599361479282,0.0004897997714579105,1.4499761164188385e-05,0.004980300087481737,0.02860909840092063
10,7.680011913180351e-05,1.090019941329956e-05,9.799841791391373e-06,6.1998143792152405e-06,0.00025770021602511406,6.800051778554916e-06,5.09992241859436e-06,9.200070053339005e-06,1.019984483718872e-05,1.0400079190731049e-05,8.100038394331932e-05,7.489975541830063e-05,0.0001781000755727291,1.3499986380338669e-05,1.0299962013959885e-05,0.0007609003223478794
11,1.039961352944374e-05,0.004202799405902624,1.0400079190731049e-05,9.09995287656784e-06,0.000624100212007761,7.3998235166072845e-06,0.0009494000114500523,8.050026372075081e-05,0.0001588999293744564,0.002827499993145466,0.0024643996730446815,0.012138300109654665,0.0004903003573417664,1.4499761164188385e-05,0.005069099832326174,0.029057099018245935
12,1.0400544852018356e-05,0.004056199919432402,1.0600313544273376e-05,6.400048732757568e-06,5.3998082876205444e-06,6.0996972024440765e-06,0.0009320997633039951,7.830001413822174e-05,0.0001593995839357376,0.0027891001664102077,7.649976760149002e-05,7.240008562803268e-05,4.999805241823196e-06,1.3899989426136017e-05,9.190058335661888e-05,0.008313700091093779
13,7.140031084418297e-05,1.0500196367502213e-05,9.400304406881332e-06,6.299931555986404e-06,0.00025040004402399063,6.70040026307106e-06,4.7995708882808685e-06,9.100418537855148e-06,9.80030745267868e-06,9.700190275907516e-06,7.469998672604561e-05,7.250020280480385e-05,0.00016700010746717453,1.3299752026796341e-05,1.0099727660417557e-05,0.0007257014513015747
