execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,2.4300068616867065e-05,9.220000356435776e-05,2.019992098212242e-05,1.400010660290718e-05,0.008299400098621845,1.4799647033214569e-05,1.0200310498476028e-05,2.1600164473056793e-05,2.1600164473056793e-05,0.003225699532777071,0.011191300116479397,0.03410550020635128,0.0017933999188244343,3.0300114303827286e-05,0.004449199885129929,0.06331370025873184
2,7.390044629573822e-05,1.1000316590070724e-05,9.29972156882286e-06,6.6999346017837524e-06,0.00026090024039149284,6.70040026307106e-06,4.699919372797012e-06,9.399838745594025e-06,1.019984483718872e-05,9.999610483646393e-06,8.119968697428703e-05,7.429998368024826e-05,0.00017639994621276855,1.3300217688083649e-05,1.0100193321704865e-05,0.000758100301027298
3,7.779989391565323e-05,1.0499730706214905e-05,9.499955922365189e-06,6.800051778554916e-06,0.0002506999298930168,6.70040026307106e-06,5.000270903110504e-06,9.29972156882286e-06,9.899493306875229e-06,1.019984483718872e-05,7.670000195503235e-05,7.480010390281677e-05,0.00017459969967603683,1.619989052414894e-05,1.0100193321704865e-05,0.0007487991824746132
4,1.019984483718872e-05,8.199969306588173e-05,1.0299962013959885e-05,6.600283086299896e-06,0.0013798000290989876,7.200054824352264e-06,5.200039595365524e-06,1.0300427675247192e-05,1.070043072104454e-05,8.099991828203201e-05,0.007755700033158064,0.033184200525283813,0.0011636996641755104,1.400010660290718e-05,0.004429900553077459,0.048150801565498114
5,9.699724614620209e-06,8.13002698123455e-05,9.799841791391373e-06,6.6999346017837524e-06,0.000205999705940485,6.800051778554916e-06,5.000270903110504e-06,1.0200310498476028e-05,1.0299962013959885e-05,7.930025458335876e-05,0.0009508002549409866,0.004087899811565876,0.0001717996783554554,1.6800127923488617e-05,0.0017560995183885098,0.007408499717712402
6,0.0001492002047598362,0.00012979982420802116,1.930026337504387e-05,1.3399403542280197e-05,0.011203000321984291,1.3899523764848709e-05,9.900424629449844e-06,2.059992402791977e-05,2.149958163499832e-05,9.270012378692627e-05,0.0077504003420472145,0.029910700395703316,0.0012918999418616295,2.8399284929037094e-05,0.004735099617391825,0.05538979917764664
7,7.320009171962738e-05,1.0400079190731049e-05,9.699724614620209e-06,6.6999346017837524e-06,0.00025669997557997704,6.800051778554916e-06,4.699919372797012e-06,9.100418537855148e-06,1.0099727660417557e-05,1.0099727660417557e-05,8.089980110526085e-05,7.309997454285622e-05,0.00017659971490502357,1.3300217688083649e-05,1.2699980288743973e-05,0.0007540993392467499
8,0.010724400170147419,1.0999850928783417e-05,9.700190275907516e-06,6.70040026307106e-06,5.300156772136688e-06,6.400048732757568e-06,0.0009035998955368996,7.700035348534584e-05,1.4999881386756897e-05,1.0299962013959885e-05,9.300652891397476e-06,9.200070053339005e-06,4.8996880650520325e-06,1.4099758118391037e-05,9.899958968162537e-06,0.01181680103763938
9,2.180039882659912e-05,9.030057117342949e-05,2.000061795115471e-05,1.3599637895822525e-05,0.008015699684619904,1.4400109648704529e-05,1.00000761449337e-05,2.0300038158893585e-05,2.0999927073717117e-05,0.0031753997318446636,0.008817399386316538,0.030991200357675552,0.0014641000889241695,2.879975363612175e-05,0.004359300713986158,0.05706330109387636
10,7.17993825674057e-05,1.0599847882986069e-05,9.09995287656784e-06,7.200054824352264e-06,0.0002506999298930168,6.6999346017837524e-06,4.8996880650520325e-06,8.90018418431282e-06,9.899493306875229e-06,1.0099727660417557e-05,7.54999928176403e-05,7.139984518289566e-05,0.00016579963266849518,1.3200566172599792e-05,9.699724614620209e-06,0.0007254979573190212
11,7.170019671320915e-05,1.0999850928783417e-05,9.199604392051697e-06,6.6999346017837524e-06,0.0002454998902976513,9.300187230110168e-06,4.800036549568176e-06,8.899718523025513e-06,9.600073099136353e-06,1.00000761449337e-05,7.649976760149002e-05,7.269950583577156e-05,0.00016510020941495895,1.3200100511312485e-05,1.0099727660417557e-05,0.0007242988795042038
12,7.530022412538528e-05,1.1399853974580765e-05,9.599607437849045e-06,7.200054824352264e-06,0.0002875998616218567,7.0999376475811005e-06,4.699919372797012e-06,9.900424629449844e-06,1.0100658982992172e-05,1.0800547897815704e-05,8.069956675171852e-05,7.619988173246384e-05,0.00016699964180588722,1.380033791065216e-05,1.0899733752012253e-05,0.0007823002524673939
