execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.0699965059757233e-05,0.0025900000473484397,1.100008375942707e-05,9.70007386058569e-06,0.012233900022692978,0.0022846999345347285,1.0699965059757233e-05,1.7998972907662392e-06,1.0300078429281712e-05,1.7799902707338333e-05,7.200054824352264e-06,4.900037311017513e-06,0.0009008999913930893,0.0006185999372974038,7.300055585801601e-06,0.018719500047154725
2,1.0599964298307896e-05,0.0001047999830916524,1.0300078429281712e-05,9.500072337687016e-06,7.789989467710257e-05,1.0500079952180386e-05,7.739989086985588e-05,2.00001522898674e-06,9.800074622035027e-06,1.4099990949034691e-05,7.4999406933784485e-06,4.700035788118839e-06,0.00029349990654736757,0.00021630001720041037,7.200054824352264e-06,0.0008560999995097518
3,1.0599964298307896e-05,7.770012598484755e-05,9.999843314290047e-06,9.100069291889668e-06,7.469987031072378e-05,1.27000967040658e-05,7.329985965043306e-05,1.800013706088066e-06,9.400071576237679e-06,1.3599987141788006e-05,6.800051778554916e-06,4.500034265220165e-06,0.0002785999095067382,0.00017580005805939436,6.9999368861317635e-06,0.0007655998924747109
4,8.319993503391743e-05,0.008414799929596484,0.004505799966864288,1.580000389367342e-05,0.0334024999756366,8.389994036406279e-05,9.800074622035027e-06,1.9000144675374031e-06,1.0200077667832375e-05,1.4799879863858223e-05,6.7999353632330894e-06,5.00003807246685e-06,0.0014059999957680702,0.0011887000873684883,7.1999384090304375e-06,0.04915639979299158
5,8.349993731826544e-05,0.0010824999772012234,0.0018269000574946404,1.0899966582655907e-05,0.004065399989485741,8.189992513507605e-05,9.70007386058569e-06,1.800013706088066e-06,9.999959729611874e-06,1.4900113455951214e-05,6.600050255656242e-06,4.699919372797012e-06,0.00021049997303634882,0.00017690006643533707,6.900052540004253e-06,0.007593100075609982
6,1.070008147507906e-05,8.129992056638002e-05,9.999959729611874e-06,9.199953638017178e-06,7.51999905332923e-05,1.0400079190731049e-05,7.589987944811583e-05,1.600012183189392e-06,1.00000761449337e-05,1.4099874533712864e-05,7.0999376475811005e-06,4.599918611347675e-06,0.00020870007574558258,0.00012729992158710957,6.8999361246824265e-06,0.0006529996171593666
7,1.0400079190731049e-05,7.98999099060893e-05,1.0599847882986069e-05,9.100069291889668e-06,7.569987792521715e-05,1.1800089851021767e-05,0.00012480001896619797,2.200016751885414e-06,1.0400079190731049e-05,1.3799872249364853e-05,6.800051778554916e-06,4.799920134246349e-06,0.0002770000137388706,0.00017639994621276855,6.900052540004253e-06,0.000820599845610559
8,1.910002902150154e-05,1.6900128684937954e-05,1.8299906514585018e-05,0.00013979990035295486,1.680001150816679e-05,1.9000028260052204e-05,0.019116500043310225,4.400033503770828e-06,2.7099973522126675e-05,3.790005575865507e-05,1.8300022929906845e-05,0.0024028000188991427,1.4299992471933365e-05,1.279998105019331e-05,1.6400008462369442e-05,0.02188040013425052
9,1.0599964298307896e-05,0.0010956000769510865,1.0499847121536732e-05,9.400071576237679e-06,0.004149800050072372,0.0021668998524546623,1.0200077667832375e-05,2.00001522898674e-06,9.499955922365189e-06,1.4900113455951214e-05,6.500049494206905e-06,4.800036549568176e-06,0.00042070006020367146,0.0002801999216899276,6.800051778554916e-06,0.008198400144465268
10,1.0199961252510548e-05,7.459986954927444e-05,9.499955922365189e-06,8.400063961744308e-06,7.149996235966682e-05,9.7999582067132e-06,7.020006887614727e-05,1.600012183189392e-06,8.900067768990993e-06,1.2999982573091984e-05,6.5999338403344154e-06,4.800036549568176e-06,0.0002839999506250024,0.00016739999409765005,6.200047209858894e-06,0.0007466998649761081
11,1.2899981811642647e-05,7.6299998909235e-05,9.699957445263863e-06,9.200070053339005e-06,7.439986802637577e-05,1.0200077667832375e-05,7.149996235966682e-05,1.600012183189392e-06,9.599956683814526e-06,1.3500102795660496e-05,6.9999368861317635e-06,4.700035788118839e-06,0.0002647999208420515,0.00016930000856518745,6.600050255656242e-06,0.0007412999402731657
12,1.009996049106121e-05,7.779989391565323e-05,1.00000761449337e-05,9.09995287656784e-06,7.390009704977274e-05,1.00000761449337e-05,7.199984975159168e-05,1.700012944638729e-06,9.600073099136353e-06,1.3399869203567505e-05,7.200054824352264e-06,4.500034265220165e-06,0.00027790002059191465,0.00017040001694113016,6.4999330788850784e-06,0.000754099921323359
