class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
Artifact,none,other,True,False,False,0,14
Code,none,other,False,False,True,2,2
Composite_Artifact,none,other,False,False,True,1,1
Document,none,other,False,False,True,1,2
Information_Item,none,other,False,True,False,1,0
Machine_Code,none,other,False,True,False,3,0
Model,none,other,False,True,False,1,0
Program,none,other,False,True,False,2,0
Program_Specification,none,other,False,True,False,2,0
Simple_Artifact,none,other,False,True,False,1,0
Software_Item,none,other,False,False,True,1,5
Software_Product,none,other,False,True,False,2,0
Software_System,none,other,False,True,False,2,0
Source_Code,none,other,False,True,False,3,0
System_Specification,none,other,False,True,False,2,0
