execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.0599964298307896e-05,1.0299962013959885e-05,9.600073099136353e-06,6.100046448409557e-06,0.00025619997177273035,7.200054824352264e-06,4.700035788118839e-06,9.699841029942036e-06,1.0600080713629723e-05,0.004597699968144298,8.050003089010715e-05,7.579999510198832e-05,0.00017899996601045132,1.5199882909655571e-05,1.00000761449337e-05,0.0052831999491900206
2,1.1200085282325745e-05,1.0500079952180386e-05,9.500072337687016e-06,6.200047209858894e-06,0.00025699997786432505,7.100054062902927e-06,4.699919372797012e-06,8.999835699796677e-06,1.1099851690232754e-05,0.004731900058686733,8.180004078894854e-05,8.450006134808064e-05,0.00018009997438639402,1.610000617802143e-05,1.0600080713629723e-05,0.005431300145573914
3,1.0699965059757233e-05,1.0400079190731049e-05,9.900075383484364e-06,6.4999330788850784e-06,0.0002647999208420515,7.3999399319291115e-06,4.900037311017513e-06,9.500072337687016e-06,1.0399962775409222e-05,0.004968099994584918,8.230016101151705e-05,8.140003774315119e-05,0.00018620002083480358,1.5700003132224083e-05,9.999843314290047e-06,0.005678200046531856
4,1.0100076906383038e-05,1.0200077667832375e-05,9.699957445263863e-06,6.400048732757568e-06,0.0002508999314159155,7.300055585801601e-06,4.800036549568176e-06,8.999952115118504e-06,1.009996049106121e-05,0.004510900005698204,7.770000956952572e-05,7.529999129474163e-05,0.00017610006034374237,1.4999997802078724e-05,1.0299962013959885e-05,0.005183800123631954
5,1.0299962013959885e-05,1.0300078429281712e-05,9.800074622035027e-06,6.600050255656242e-06,0.00026000000070780516,6.8999361246824265e-06,5.100038833916187e-06,9.300070814788342e-06,1.0500079952180386e-05,0.0047444000374525785,8.260004688054323e-05,7.720000576227903e-05,0.00018940004520118237,1.5600002370774746e-05,1.0199961252510548e-05,0.005448200390674174
6,9.500072337687016e-06,1.0299962013959885e-05,1.1799857020378113e-05,6.100046448409557e-06,5.100038833916187e-06,6.600050255656242e-06,0.0010771999368444085,7.760000880807638e-05,1.0100076906383038e-05,7.579999510198832e-05,9.299954399466515e-06,9.199953638017178e-06,4.599918611347675e-06,1.4300108887255192e-05,9.899958968162537e-06,0.0013373999390751123
7,1.0299962013959885e-05,1.0699965059757233e-05,9.500072337687016e-06,6.299931555986404e-06,0.00025750009808689356,7.0999376475811005e-06,4.800036549568176e-06,9.100069291889668e-06,1.009996049106121e-05,0.00452029996085912,8.079991675913334e-05,7.860013283789158e-05,0.00017969997134059668,1.4299992471933365e-05,1.0100076906383038e-05,0.005209200084209442
8,1.7399899661540985e-05,1.770013477653265e-05,1.6700010746717453e-05,1.4600111171603203e-05,0.0005613999674096704,1.610000617802143e-05,1.6700010746717453e-05,1.680001150816679e-05,1.7300015315413475e-05,0.005539300036616623,0.00013559998478740454,0.0001322998432442546,0.0003939999733120203,2.429995220154524e-05,1.750001683831215e-05,0.006937699974514544
9,1.0600080713629723e-05,1.0500079952180386e-05,9.800074622035027e-06,6.200047209858894e-06,0.0002586999908089638,7.200054824352264e-06,5.09992241859436e-06,9.100069291889668e-06,1.0099844075739384e-05,0.004600999993272126,8.210004307329655e-05,7.71998893469572e-05,0.00018079997971653938,1.4999881386756897e-05,1.0399846360087395e-05,0.005293799797073007
10,1.1100084520876408e-05,0.004203499993309379,1.0299962013959885e-05,6.400048732757568e-06,0.0007653000066056848,7.100054062902927e-06,0.0010470999404788017,8.119991980493069e-05,0.00015919993165880442,0.00288940011523664,0.0031973998993635178,0.015981500037014484,0.0006606999086216092,1.550000160932541e-05,0.0067266999976709485,0.03576239990070462
11,1.0500079952180386e-05,0.0040831000078469515,9.89984255284071e-06,6.199930794537067e-06,0.00038950005546212196,7.3999399319291115e-06,0.0010367999784648418,7.890013512223959e-05,0.0001553000183776021,0.002801500027999282,0.0016765999607741833,0.007965400000102818,0.00033199996687471867,1.4400109648704529e-05,0.0034297999227419496,0.0219972999766469
12,1.0400079190731049e-05,1.070008147507906e-05,9.599956683814526e-06,6.199930794537067e-06,0.0002566000912338495,6.900052540004253e-06,4.800036549568176e-06,8.899951353669167e-06,1.0300078429281712e-05,0.004722600104287267,8.510006591677666e-05,7.509998977184296e-05,0.00017539993859827518,1.810002140700817e-05,9.900075383484364e-06,0.005410600453615189
13,1.479999627918005e-05,1.0599964298307896e-05,9.70007386058569e-06,5.899928510189056e-06,0.00028149993158876896,7.200054824352264e-06,4.600035026669502e-06,1.2400094419717789e-05,1.2999982573091984e-05,0.004616800113581121,8.350017014890909e-05,8.789997082203627e-05,0.00017630006186664104,1.680001150816679e-05,1.3499986380338669e-05,0.005354500375688076
14,1.0499963536858559e-05,0.004189600003883243,1.0299962013959885e-05,6.4999330788850784e-06,0.0007669000187888741,8.599949069321156e-06,0.0010508999694138765,8.049991447478533e-05,0.00016259995754808187,0.00285919988527894,0.003232099930755794,0.01619570003822446,0.0006634999299421906,1.6000005416572094e-05,0.007157100015319884,0.036409999476745725
