execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.0899733752012253e-05,1.0900665074586868e-05,9.899958968162537e-06,6.200280040502548e-06,0.00024910038337111473,7.200054824352264e-06,4.800036549568176e-06,8.90018418431282e-06,1.900363713502884e-06,0.004449800122529268,7.659988477826118e-05,7.459986954927444e-05,0.00017930008471012115,1.5000347048044205e-05,1.2599863111972809e-05,0.005117701832205057
2,1.4300458133220673e-05,1.1099502444267273e-05,1.0699965059757233e-05,6.800051778554916e-06,0.0002713003195822239,7.4999406933784485e-06,5.09992241859436e-06,1.0099727660417557e-05,2.299901098012924e-06,0.005348099861294031,8.280016481876373e-05,8.010026067495346e-05,0.00018010009080171585,2.7399510145187378e-05,1.0800082236528397e-05,0.006068499758839607
3,1.0899268090724945e-05,1.0899733752012253e-05,1.019984483718872e-05,6.5998174250125885e-06,0.0002560000866651535,7.0999376475811005e-06,4.999805241823196e-06,9.699724614620209e-06,1.7997808754444122e-06,0.004590400028973818,7.970025762915611e-05,7.610023021697998e-05,0.0001817997545003891,1.5099998563528061e-05,1.0299962013959885e-05,0.005271598231047392
4,1.0400544852018356e-05,1.0899733752012253e-05,9.999610483646393e-06,6.5998174250125885e-06,0.00025530019775032997,7.0999376475811005e-06,5.09992241859436e-06,9.400304406881332e-06,1.8998980522155762e-06,0.0045632002875208855,7.970025762915611e-05,7.6299998909235e-05,0.0001754998229444027,1.4899764209985733e-05,1.0400544852018356e-05,0.005236700642853975
5,1.039961352944374e-05,1.0900665074586868e-05,1.200009137392044e-05,6.400048732757568e-06,0.0002446998842060566,7.200054824352264e-06,4.599802196025848e-06,9.200070053339005e-06,1.7993152141571045e-06,0.004480700474232435,7.810024544596672e-05,7.50003382563591e-05,0.00017199991270899773,1.5199650079011917e-05,1.2800097465515137e-05,0.005141000263392925
6,9.300187230110168e-06,1.0299962013959885e-05,9.699724614620209e-06,6.299931555986404e-06,5.499925464391708e-06,6.400048732757568e-06,0.0010319002903997898,7.509998977184296e-05,1.700129359960556e-06,7.480056956410408e-05,9.400304406881332e-06,9.200070053339005e-06,5.09992241859436e-06,1.4100223779678345e-05,9.700190275907516e-06,0.001278501469641924
7,1.3400334864854813e-05,1.1000316590070724e-05,1.3700220733880997e-05,6.299931555986404e-06,0.0002608001232147217,7.200054824352264e-06,5.200039595365524e-06,1.1899974197149277e-05,2.0996667444705963e-06,0.004465499427169561,8.229957893490791e-05,7.480056956410408e-05,0.00017779972404241562,2.180039882659912e-05,1.0600313544273376e-05,0.005164400674402714
8,1.3799872249364853e-05,1.0799616575241089e-05,1.0499730706214905e-05,6.400048732757568e-06,0.0002469997853040695,6.9998204708099365e-06,4.699919372797012e-06,9.29972156882286e-06,1.700129359960556e-06,0.00456169992685318,7.900036871433258e-05,7.400056347250938e-05,0.00017690006643533707,1.5099998563528061e-05,1.019984483718872e-05,0.005228099413216114
9,1.0699965059757233e-05,1.3399869203567505e-05,1.0200310498476028e-05,6.400048732757568e-06,0.00025320006534457207,7.200054824352264e-06,4.999805241823196e-06,9.300187230110168e-06,1.7997808754444122e-06,0.004561800044029951,7.84001313149929e-05,7.429998368024826e-05,0.00017220014706254005,1.5400350093841553e-05,9.999610483646393e-06,0.005229300353676081
10,1.0400079190731049e-05,0.004064999520778656,9.500421583652496e-06,6.399583071470261e-06,0.0007368000224232674,6.899703294038773e-06,0.000997799914330244,8.099991828203201e-05,1.80024653673172e-06,0.0027471999637782574,0.0031658997759222984,0.015441200230270624,0.0006411997601389885,1.4100223779678345e-05,0.0065875002183020115,0.03451269958168268
11,1.0599847882986069e-05,0.004090799950063229,1.00000761449337e-05,9.300187230110168e-06,0.00039270007982850075,7.4999406933784485e-06,0.001144499983638525,7.849978283047676e-05,1.900363713502884e-06,0.0028130998834967613,0.0016700001433491707,0.007929100189357996,0.00033330032601952553,1.4800112694501877e-05,0.003375999629497528,0.021882100496441126
12,1.0100193321704865e-05,1.0100193321704865e-05,9.500421583652496e-06,6.299931555986404e-06,0.00023959996178746223,6.6999346017837524e-06,4.90015372633934e-06,8.699949830770493e-06,1.700129359960556e-06,0.004358100239187479,7.830001413822174e-05,7.13001936674118e-05,0.0001675998792052269,1.4699995517730713e-05,9.799841791391373e-06,0.0049974010325968266
13,1.0100193321704865e-05,1.0299962013959885e-05,9.80030745267868e-06,6.100162863731384e-06,0.00024749990552663803,6.800051778554916e-06,4.699919372797012e-06,9.000301361083984e-06,2.00001522898674e-06,0.004483700264245272,7.779989391565323e-05,7.329974323511124e-05,0.00017090002074837685,1.470046117901802e-05,1.0099727660417557e-05,0.005136800929903984
14,1.090019941329956e-05,0.004118899814784527,1.019984483718872e-05,6.600283086299896e-06,0.000750300008803606,7.0999376475811005e-06,0.0010190000757575035,7.960014045238495e-05,1.8998980522155762e-06,0.0028081005439162254,0.003166399896144867,0.015681800432503223,0.0006488002836704254,1.4999881386756897e-05,0.006766099948436022,0.035090701188892126
