execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,2.5600005756132305e-05,0.00011360000644344836,9.400013368576765e-06,8.099988917820156e-06,6.970000686123967e-05,8.999995770864189e-06,6.880001456011087e-05,8.699993486516178e-06,0.0002896999940276146,1.2899981811642647e-05,5.599998985417187e-06,4.4000043999403715e-06,0.00030259999039117247,0.00016650000179652125,6.100002792663872e-06,0.0011006999993696809
2,9.700001101009548e-06,7.630001346115023e-05,9.500014130026102e-06,8.300004992634058e-06,7.619999814778566e-05,9.300012607127428e-06,7.249998452607542e-05,9.200011845678091e-06,8.700008038431406e-06,1.170000177808106e-05,5.699999746866524e-06,4.599991370923817e-06,0.0002705999941099435,0.0001728999923216179,5.999987479299307e-06,0.0007512000156566501
3,9.499999578110874e-06,7.26999860489741e-05,8.90000956133008e-06,8.699993486516178e-06,0.00012080000306013972,8.99998121894896e-06,6.970000686123967e-05,8.999995770864189e-06,8.500006515532732e-06,1.1099997209385037e-05,5.299996701069176e-06,4.2000028770416975e-06,0.00024009999469853938,0.0001880999916465953,6.200003554113209e-06,0.0007717999687884003
4,9.399984264746308e-06,7.649998588021845e-05,9.60000033956021e-06,8.600007276982069e-06,7.260001439135522e-05,9.799987310543656e-06,7.240001286845654e-05,9.2999980552122e-06,0.0003415999817661941,1.239999255631119e-05,6.000002031214535e-06,4.49999060947448e-06,0.0002443000121274963,0.00016910000704228878,6.300004315562546e-06,0.0010523999808356166
5,9.399998816661537e-06,7.169999298639596e-05,8.800008799880743e-06,7.999988156370819e-06,6.829999620094895e-05,9.099981980398297e-06,8.919999527279288e-05,8.90000956133008e-06,0.00025260000256821513,1.1800002539530396e-05,5.699999746866524e-06,4.5000051613897085e-06,0.00023020000662654638,0.00015959999291226268,5.900001269765198e-06,0.0009436999825993553
6,7.950000872369856e-05,0.009779199986951426,0.0018739999941317365,9.200011845678091e-06,0.03856459999224171,7.869998808018863e-05,8.899980457499623e-06,8.800008799880743e-06,8.999995770864189e-06,1.1500000255182385e-05,5.900001269765198e-06,4.7000066842883825e-06,0.0017960999975912273,0.0015928999928291887,7.000009645707905e-06,0.05382999997527804
7,9.310001041740179e-05,0.013753699997323565,0.0018083999893860891,1.920000067912042e-05,0.03925950001575984,8.9100023615174e-05,0.02526649997162167,2.309998671989888e-05,2.0000021322630346e-05,0.005023100005928427,1.2500007869675756e-05,1.1200012522749603e-05,0.01361660000111442,0.0021090999944135547,1.309999788645655e-05,0.10111820003658067
8,9.99998883344233e-06,7.569997978862375e-05,9.399984264746308e-06,8.499991963617504e-06,8.05000017862767e-05,9.399998816661537e-06,7.20999960321933e-05,9.199997293762863e-06,0.00030810000316705555,1.2600008631125093e-05,5.900001269765198e-06,4.3000036384910345e-06,0.0002410000015515834,0.00016999999934341758,6.200003554113209e-06,0.0010228999599348754
9,0.0001252999936696142,0.012003199983155355,0.0017867999849840999,1.859998155850917e-05,0.03829469998891,0.00010459998156875372,0.017360700003337115,2.1900006686337292e-05,1.8799968529492617e-05,0.0032558999955654144,1.1199997970834374e-05,1.130001328419894e-05,0.012208800006192178,0.0019123999954899773,1.2699994840659201e-05,0.08714689989574254
10,9.60000033956021e-06,7.649998588021845e-05,9.200011845678091e-06,8.300004992634058e-06,7.159999222494662e-05,1.2499993317760527e-05,7.199999527074397e-05,9.199982741847634e-06,0.0002725000085774809,1.2800010154023767e-05,6.000002031214535e-06,4.49999060947448e-06,0.0002449000021442771,0.00017279999156016856,6.399990525096655e-06,0.0009887999622151256
