execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,7.58003443479538e-05,1.0499730706214905e-05,0.00027159973978996277,6.00004568696022e-06,0.0002514999359846115,6.5998174250125885e-06,4.599802196025848e-06,8.600763976573944e-06,2.00001522898674e-06,1.019984483718872e-05,7.870001718401909e-05,7.859990000724792e-05,0.00017910031601786613,1.3399869203567505e-05,9.600073099136353e-06,0.001006800215691328
2,7.499987259507179e-05,1.3699755072593689e-05,9.499955922365189e-06,6.200280040502548e-06,0.00026369979605078697,6.4997002482414246e-06,4.800036549568176e-06,8.800532668828964e-06,2.00001522898674e-06,9.899958968162537e-06,7.819989696145058e-05,8.230051025748253e-05,0.00017560040578246117,1.2200325727462769e-05,9.899958968162537e-06,0.0007583010010421276
3,7.680011913180351e-05,1.0299962013959885e-05,9.899958968162537e-06,8.799601346254349e-06,0.00025720009580254555,6.400048732757568e-06,4.699919372797012e-06,9.09995287656784e-06,1.8998980522155762e-06,1.00000761449337e-05,7.869955152273178e-05,7.529975846409798e-05,0.0001751999370753765,1.2400094419717789e-05,9.899958968162537e-06,0.0007465989328920841
4,7.649976760149002e-05,1.0100193321704865e-05,0.00026059988886117935,5.600042641162872e-06,0.00024749990552663803,6.4997002482414246e-06,4.400033503770828e-06,8.699949830770493e-06,2.00001522898674e-06,1.00000761449337e-05,7.750000804662704e-05,7.509952411055565e-05,0.0001722997985780239,1.2699980288743973e-05,9.60053876042366e-06,0.0009790994226932526
5,7.480010390281677e-05,1.0299962013959885e-05,0.00029300013557076454,6.500165909528732e-06,0.00025349995121359825,9.80030745267868e-06,4.599802196025848e-06,8.999835699796677e-06,2.300366759300232e-06,1.00000761449337e-05,8.019944652915001e-05,7.96997919678688e-05,0.0002359999343752861,1.3199634850025177e-05,1.0099727660417557e-05,0.001092999242246151
6,9.699724614620209e-06,8.720019832253456e-05,1.00000761449337e-05,5.899928510189056e-06,0.0016441000625491142,6.6999346017837524e-06,4.800036549568176e-06,1.0100193321704865e-05,2.00001522898674e-06,8.269958198070526e-05,0.00957590015605092,0.04016510024666786,0.0014242003671824932,1.2699980288743973e-05,0.002013599965721369,0.05505470046773553
7,0.02327030012384057,1.1100433766841888e-05,1.3700220733880997e-05,6.500165909528732e-06,0.001155099831521511,5.899928510189056e-06,4.90015372633934e-06,9.399838745594025e-06,2.400483936071396e-06,1.2699980288743973e-05,0.003406999632716179,0.017546100076287985,0.000808000098913908,0.0043715001083910465,1.1600088328123093e-05,0.05063620116561651
8,7.320055738091469e-05,1.0000541806221008e-05,0.0002633999101817608,5.600042641162872e-06,0.00024460023269057274,6.5998174250125885e-06,4.599802196025848e-06,8.599832653999329e-06,1.7997808754444122e-06,9.699724614620209e-06,7.71000050008297e-05,7.579941302537918e-05,0.00017510028555989265,1.2899748980998993e-05,9.899958968162537e-06,0.0009788996540009975
9,0.015558999963104725,1.0599847882986069e-05,1.0299962013959885e-05,5.899928510189056e-06,0.0008801002986729145,6.100162863731384e-06,4.500150680541992e-06,9.200070053339005e-06,2.200249582529068e-06,1.0599847882986069e-05,0.0024445997551083565,0.011984099633991718,0.0006120000034570694,0.0030148006044328213,1.3999640941619873e-05,0.03456800011917949
10,7.380032911896706e-05,9.600073099136353e-06,0.0002708001993596554,6.100162863731384e-06,0.00024610012769699097,6.400048732757568e-06,4.699919372797012e-06,8.299946784973145e-06,1.900363713502884e-06,9.600073099136353e-06,7.719965651631355e-05,7.349997758865356e-05,0.000171000137925148,1.2699980288743973e-05,9.600073099136353e-06,0.0009813010692596436
