class_name,stereotype_original,stereotype_gufo,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses,number_reachable_classes
Earth_Solid,category,category,False,False,True,1,3,9
Rock_exposed_to_physical_stress_due_to_surface_exposition,situation,other,False,True,False,2,0,4
Broken-down_Sediment,situation,other,False,True,False,2,0,5
Geological_Solid_Object_infilled_with_Meteoric_Water,situation,other,False,True,False,1,0,4
Geological_Object,category,category,True,False,False,0,3,3
Broken-down_Rock,situation,other,False,True,False,2,0,5
Geological_Solid_Object_exposed_to_surface_conditions,situation,other,True,False,False,0,4,4
Rock_Physical_Weathering,event,other,False,True,False,2,0,4
Pore_Fluid,rolemixin,rolemixin,False,False,True,2,1,9
Chemical_altered_Geological_Solid_Object,situation,other,False,True,False,1,0,5
Water,quantity,kind,False,False,True,2,2,9
Physical_Weathering,event,other,False,False,True,1,2,4
Sediment_exposed_to_physical_stress_due_to_surface_exposition,situation,other,False,True,False,2,0,4
Pore_Water,role,role,False,True,False,4,0,9
Broken-down_Geological_Solid_Object,situation,other,False,False,True,1,3,5
Weathering,event,other,True,False,False,0,4,4
Sediment_Physical_Weathering,event,other,False,True,False,2,0,4
Geological_Solid_Object_exposed_to_physical_stress_due_to_surface_exposition,situation,other,False,False,True,1,2,4
Broken-down_Sediment_and_Rock,situation,other,False,True,False,2,0,5
Sediment,none,other,False,True,False,2,0,9
Earth_Material,category,category,True,False,False,0,9,9
Weathered_Geologic_Solid_Object,situation,other,True,False,False,0,5,5
Earth_Fluid,category,category,False,False,True,1,4,9
Source_Rock,historicalrole,role,False,True,False,3,0,9
Sediment_Object,kind,kind,False,True,False,2,0,3
Geological_Solid_Object,category,category,False,False,True,1,2,3
Chemical_Weathering,event,other,False,True,False,1,0,4
Meteoric_Water,historicalrole,role,False,True,False,3,0,9
Rock_Object,kind,kind,False,True,False,2,0,3
Rock,none,other,False,False,True,2,1,9
