class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
Earth_Fluid,category,category,False,False,True,1,4
Earth_Material,category,category,True,False,False,0,9
Earth_Solid,category,category,False,False,True,1,3
Meteoric_Water,historicalrole,role,False,True,False,3,0
Pore_Fluid,rolemixin,rolemixin,False,False,True,2,1
Pore_Water,role,role,False,True,False,4,0
Rock,none,other,False,False,True,2,1
Sediment,none,other,False,True,False,2,0
Source_Rock,historicalrole,role,False,True,False,3,0
Water,quantity,kind,False,False,True,2,2
