class_name,stereotype_original,stereotype_gufo,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses,number_reachable_classes
Technical_object,rolemixin,rolemixin,False,False,True,3,8,13
Plan_Description,category,category,False,False,True,1,1,4
Disposed,phasemixin,phasemixin,False,True,False,4,0,13
Maker,historicalrolemixin,rolemixin,False,True,False,1,0,3
Proposition,abstract,other,True,False,False,0,3,3
In_production,phasemixin,phasemixin,False,True,False,4,0,13
Agent,category,category,True,False,False,0,3,3
Communicative_acts,event,other,True,False,False,0,2,2
Practice,none,other,False,True,False,1,0,3
Capacity_universal,type,other,True,False,False,0,1,1
Make_goal,none,other,False,True,False,1,0,1
Result,rolemixin,rolemixin,False,False,True,1,9,13
Instrument,rolemixin,rolemixin,True,False,False,0,10,13
Complex_Action_Universal,type,other,True,False,False,0,2,2
In_maintenance,phasemixin,phasemixin,False,True,False,5,0,13
Designer,historicalrolemixin,rolemixin,False,True,False,1,0,3
Field,none,other,False,True,False,1,0,3
Design_object,category,category,False,True,False,2,0,4
Employed,phasemixin,phasemixin,False,False,True,4,3,13
Source,historicalrolemixin,rolemixin,False,True,False,1,0,13
Object_Description,category,category,False,False,True,1,1,4
Directive_(actagenic),event,other,False,True,False,1,0,2
In_use,phasemixin,phasemixin,False,True,False,5,0,13
In_distribution,phasemixin,phasemixin,False,True,False,5,0,13
Use_process,type,other,False,True,False,1,0,2
Make_process,type,other,False,True,False,1,0,2
Artifact_variant,type,other,False,True,False,1,0,1
Normative_Description,category,category,True,False,False,0,4,4
Planned,phasemixin,phasemixin,False,True,False,4,0,13
Material_source,rolemixin,rolemixin,False,True,False,1,0,13
Artefact_design,category,category,False,True,False,2,0,4
Assertive_(factagenic),event,other,False,True,False,1,0,2
User,historicalrolemixin,rolemixin,False,True,False,1,0,3
Physical_Object,category,category,True,False,False,0,11,13
Artifact,rolemixin,rolemixin,False,True,False,4,0,13
Artifact_universal,type,other,True,False,False,0,1,1
Use_goal,none,other,False,True,False,1,0,3
