class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
Artifact,rolemixin,rolemixin,False,True,False,4,0
Disposed,phasemixin,phasemixin,False,True,False,4,0
Employed,phasemixin,phasemixin,False,False,True,4,3
In_distribution,phasemixin,phasemixin,False,True,False,5,0
In_maintenance,phasemixin,phasemixin,False,True,False,5,0
In_production,phasemixin,phasemixin,False,True,False,4,0
In_use,phasemixin,phasemixin,False,True,False,5,0
Instrument,rolemixin,rolemixin,True,False,False,0,10
Material_source,rolemixin,rolemixin,False,True,False,1,0
Physical_Object,category,category,True,False,False,0,11
Planned,phasemixin,phasemixin,False,True,False,4,0
Result,rolemixin,rolemixin,False,False,True,1,9
Source,historicalrolemixin,rolemixin,False,True,False,1,0
Technical_object,rolemixin,rolemixin,False,False,True,3,8
