execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.1000025551766157e-05,1.009996049106121e-05,1.1399970389902592e-05,0.01987879996886477,1.2400036212056875e-05,1.2300035450607538e-05,8.239998714998364e-05,2.00001522898674e-06,1.0800024028867483e-05,1.71000137925148e-05,7.299997378140688e-06,0.005301999975927174,6.00004568696022e-06,5.299982149153948e-06,6.799993570894003e-06,0.02537570003187284
2,1.090002479031682e-05,1.2399978004395962e-05,1.079996582120657e-05,0.022542999940924346,1.2000033166259527e-05,1.1899974197149277e-05,0.0002057999954558909,3.100023604929447e-06,1.4999997802078724e-05,2.8999987989664078e-05,1.0600022505968809e-05,0.005842200014740229,5.89998671784997e-06,5.199981387704611e-06,7.100054062902927e-06,0.028724899981170893
3,1.1100026313215494e-05,9.7999582067132e-06,1.070008147507906e-05,0.019348700065165758,1.1899974197149277e-05,1.2000033166259527e-05,0.016749200003687292,2.400018274784088e-06,1.1399970389902592e-05,1.7000013031065464e-05,7.299997378140688e-06,0.005356899986509234,6.099988240748644e-06,5.499983672052622e-06,6.799993570894003e-06,0.04156680009327829
4,1.3399985618889332e-05,1.680001150816679e-05,1.0999967344105244e-05,0.027518899936694652,1.1299969628453255e-05,1.160003012046218e-05,7.869995897635818e-05,2.00001522898674e-06,1.0299962013959885e-05,1.6200006939470768e-05,6.999995093792677e-06,0.00621540000429377,5.700043402612209e-06,4.900037311017513e-06,6.599992047995329e-06,0.03392979991622269
5,1.869996776804328e-05,1.7400016076862812e-05,1.8499966245144606e-05,0.04021710000233725,3.7299992982298136e-05,3.670004662126303e-05,0.0002185999765060842,3.400025889277458e-06,2.629996743053198e-05,4.060001811012626e-05,1.7700018361210823e-05,0.01113270001951605,6.999995093792677e-06,5.600042641162872e-06,8.000002708286047e-06,0.05180560005828738
6,1.2599979527294636e-05,1.090002479031682e-05,1.209997572004795e-05,0.022415999963413924,1.2199976481497288e-05,1.2499978765845299e-05,8.479994721710682e-05,2.700020559132099e-06,1.9199971575289965e-05,2.2000051103532314e-05,8.100003469735384e-06,0.005734099948313087,6.099988240748644e-06,5.599984433501959e-06,7.299997378140688e-06,0.0283661998109892
7,1.1000025551766157e-05,9.600014891475439e-06,1.1500087566673756e-05,0.028461300011258572,1.1199968867003918e-05,1.1699972674250603e-05,8.310005068778992e-05,1.9000144675374031e-06,1.079996582120657e-05,1.610000617802143e-05,7.199996616691351e-06,0.006399500009138137,6.099988240748644e-06,5.200039595365524e-06,6.599992047995329e-06,0.035052800143603235
8,1.0899966582655907e-05,1.279998105019331e-05,1.0599964298307896e-05,7.970002479851246e-05,9.500014130026102e-06,1.1200027074664831e-05,0.06287330004852265,2.200016751885414e-06,1.1499971151351929e-05,1.5400000847876072e-05,7.299997378140688e-06,0.0010757999843917787,5.999987479299307e-06,4.999979864805937e-06,6.499991286545992e-06,0.0641376999556087
9,1.070008147507906e-05,9.300070814788342e-06,1.0200077667832375e-05,0.004477600043173879,1.0600022505968809e-05,1.0899966582655907e-05,7.870001718401909e-05,1.8998980522155762e-06,1.0499963536858559e-05,1.5700003132224083e-05,6.999995093792677e-06,0.0022548999986611307,5.799985956400633e-06,5.199981387704611e-06,6.799993570894003e-06,0.006915800098795444
10,1.1200027074664831e-05,9.400013368576765e-06,1.0000017937272787e-05,7.920002099126577e-05,9.600014891475439e-06,7.750000804662704e-05,1.3400043826550245e-05,1.7999554984271526e-06,1.0100018698722124e-05,1.669995253905654e-05,6.699992809444666e-06,0.0012651999713853002,5.600042641162872e-06,4.700035788118839e-06,6.600050255656242e-06,0.0015277001657523215
11,1.0699965059757233e-05,9.700015652924776e-06,1.079996582120657e-05,0.019045499968342483,1.1100026313215494e-05,1.1299969628453255e-05,7.82000133767724e-05,1.9000144675374031e-06,1.009996049106121e-05,1.5700003132224083e-05,6.89999433234334e-06,0.0055044000037014484,5.89998671784997e-06,5.300040356814861e-06,7.200054824352264e-06,0.024734699982218444
12,1.0900082997977734e-05,9.699957445263863e-06,1.109996810555458e-05,0.004352100018877536,1.2000033166259527e-05,1.669995253905654e-05,0.055726999999023974,2.200016751885414e-06,1.2600095942616463e-05,1.71000137925148e-05,7.299997378140688e-06,0.002335099969059229,5.89998671784997e-06,5.100038833916187e-06,6.699992809444666e-06,0.06253150012344122
13,1.0899966582655907e-05,9.699957445263863e-06,1.0500021744519472e-05,0.0044284999603405595,1.0899966582655907e-05,1.1399970389902592e-05,8.059997344389558e-05,1.800013706088066e-06,1.0399962775409222e-05,1.5600002370774746e-05,7.099995855242014e-06,0.002154799993149936,5.999987479299307e-06,5.399982910603285e-06,6.400048732757568e-06,0.006769999803509563
14,1.0600022505968809e-05,1.2499978765845299e-05,1.0899966582655907e-05,0.01326029998017475,1.1299969628453255e-05,1.1999974958598614e-05,0.04540829994948581,1.9999570213258266e-06,1.160003012046218e-05,1.6700010746717453e-05,7.299997378140688e-06,0.004137700016144663,5.799985956400633e-06,5.099980626255274e-06,6.399990525096655e-06,0.06291849981062114
